'Ocean concentrations in mol/(kg H2O)'
'Time (Gyr)' 	 'Mocean (kg)' 	 'Mriver (kg)' 	 'Seafloor weathering volume (m3)' 	 'Ocean pH' 	 'Seawater-seafloor equil pH' 	 'Ocean log f(O2) at Tsurf0' 	 'Rain pH' 	 'Ox C(aq)' 	 'Red C(aq)' 	 Mg(aq) 	 Ca(aq) 	 Fe(aq) 	 Si(aq) 	 Na(aq) 	 S(aq) 	 Cl(aq)
1.011 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.021 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.031 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.041 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.051 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.061 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.071 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.081 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.091 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.101 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.111 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.121 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.131 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.141 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.151 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.161 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.171 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.181 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.191 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.201 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.211 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.221 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.231 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.241 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.251 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.261 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.271 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.281 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.291 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.301 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.311 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.321 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.331 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.341 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.351 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
